	tdc		tdd			tdb		tdc	tda	tdc	tdh
1290	"CH现货正版/折纸宠物乐园/(日)渊本宗司 ,胡小宇 /河南科学技术出版社/手工/DIY 纸艺"	河南手工艺	26.3	#	Mr.	北京	111111	"CH现货正版/折纸宠物乐园/(日)渊本宗司 ,胡小宇 /河南科学技术出版社/手工/DIY 纸艺"	诚顺达图书专营店	"CH现货正版/折纸宠物乐园/(日)渊本宗司 ,胡小宇 /河南科学技术出版社/手工/DIY 纸艺"	//detail.tmall.com/item.htm?id=523972412430&ns=1&abbucket=10
1291	CH现货正版/幼儿园老师推荐的人气剪纸/〔日〕辻雅；李爱子/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	23.4	#	Mr.	北京	111111	CH现货正版/幼儿园老师推荐的人气剪纸/〔日〕辻雅；李爱子/河南科学技术出版社/手工/DIY 纸艺	诚顺达图书专营店	CH现货正版/幼儿园老师推荐的人气剪纸/〔日〕辻雅；李爱子/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524007652047&ns=1&abbucket=10
1292	"CH现货正版/我的本折纸书/〔日〕小野玛丽,〔日〕小野罗西,王晨曦/河南科学技术出版社/手工/DIY 纸艺"	河南手工艺	21.8	#	Mr.	北京	111111	"CH现货正版/我的本折纸书/〔日〕小野玛丽,〔日〕小野罗西,王晨曦/河南科学技术出版社/手工/DIY 纸艺"	诚顺达图书专营店	"CH现货正版/我的本折纸书/〔日〕小野玛丽,〔日〕小野罗西,王晨曦/河南科学技术出版社/手工/DIY 纸艺"	//detail.tmall.com/item.htm?id=523972463014&ns=1&abbucket=10
1293	"折纸宠物乐园 9787534965647  原价:36元 (日)渊本宗司 ,胡小宇  河南科学技术出版社  手工/DIY 纸艺"	河南手工艺	32.4	#	Mr.	北京	111111	"折纸宠物乐园 9787534965647  原价:36元 (日)渊本宗司 ,胡小宇  河南科学技术出版社  手工/DIY 纸艺"	学海启航图书专营店	"折纸宠物乐园 9787534965647  原价:36元 (日)渊本宗司 ,胡小宇  河南科学技术出版社  手工/DIY 纸艺"	//detail.tmall.com/item.htm?id=524660417045&ns=1&abbucket=10
1294	亲子互动折纸大全 9787534979361  原价:39元 〔日〕石川真理子；江景丽 河南科学技术出版社  手工/DIY 纸艺	河南手工艺	33.54	#	Mr.	北京	111111	亲子互动折纸大全 9787534979361  原价:39元 〔日〕石川真理子；江景丽 河南科学技术出版社  手工/DIY 纸艺	学海启航图书专营店	亲子互动折纸大全 9787534979361  原价:39元 〔日〕石川真理子；江景丽 河南科学技术出版社  手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524629715450&ns=1&abbucket=10
1295	纸有创意最动人-美妙装饰节庆折纸 9787534978708  原价:39元 〔日〕小林一夫； 甄冬梅 河南科学技术出版社  手工/DIY 纸艺	河南手工艺	33.54	#	Mr.	北京	111111	纸有创意最动人-美妙装饰节庆折纸 9787534978708  原价:39元 〔日〕小林一夫； 甄冬梅 河南科学技术出版社  手工/DIY 纸艺	学海启航图书专营店	纸有创意最动人-美妙装饰节庆折纸 9787534978708  原价:39元 〔日〕小林一夫； 甄冬梅 河南科学技术出版社  手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524673400916&ns=1&abbucket=10
1296	"HD正版//魅力衍纸花语/〔日〕多香山,幂籁,田巧凤/河南科学技术出版社/手工/DIY 纸艺"	河南手工艺	28.9	#	Mr.	北京	111111	"HD正版//魅力衍纸花语/〔日〕多香山,幂籁,田巧凤/河南科学技术出版社/手工/DIY 纸艺"	宏坤图书音像专营店	"HD正版//魅力衍纸花语/〔日〕多香山,幂籁,田巧凤/河南科学技术出版社/手工/DIY 纸艺"	//detail.tmall.com/item.htm?id=523124482728&ns=1&abbucket=10
1297	CH现货正版/巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	河南手工艺	18.8	#	Mr.	北京	111111	CH现货正版/巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	诚顺达图书专营店	CH现货正版/巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524041829174&ns=1&abbucket=10
1298	CH现货正版/(吉祥剪纸)十二生肖系列丛书辰龙/袁升科/河南美术出版社/手工/DIY 纸艺	河南手工艺	14.4	#	Mr.	北京	111111	CH现货正版/(吉祥剪纸)十二生肖系列丛书辰龙/袁升科/河南美术出版社/手工/DIY 纸艺	诚顺达图书专营店	CH现货正版/(吉祥剪纸)十二生肖系列丛书辰龙/袁升科/河南美术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524277264053&ns=1&abbucket=10
1299	生活中的中国结 正版 图书 商城 手工 diy 河南科技 结艺 装饰	河南手工艺	18.8	#	Mr.	河南 郑州	111111	生活中的中国结 正版 图书 商城 手工 diy 河南科技 结艺 装饰	河南科技旗舰店	生活中的中国结 正版 图书 商城 手工 diy 河南科技 结艺 装饰	//detail.tmall.com/item.htm?id=9896812278&ns=1&abbucket=10
1300	快乐手工玩转粘土趣味装饰 畅销书籍 工艺饰品 正版 9787540127688 河南美术出版社 无	河南手工艺	16.3	#	Mr.	江苏 无锡	111111	快乐手工玩转粘土趣味装饰 畅销书籍 工艺饰品 正版 9787540127688 河南美术出版社 无	朵儿图书专营店	快乐手工玩转粘土趣味装饰 畅销书籍 工艺饰品 正版 9787540127688 河南美术出版社 无	//detail.tmall.com/item.htm?id=44540391764&ns=1&abbucket=10
1301	215款简单好玩的剪纸 正版 图书 手工 纸艺 益智 河南科技 折纸	河南手工艺	19.1	#	Mr.	河南 郑州	111111	215款简单好玩的剪纸 正版 图书 手工 纸艺 益智 河南科技 折纸	河南科技旗舰店	215款简单好玩的剪纸 正版 图书 手工 纸艺 益智 河南科技 折纸	//detail.tmall.com/item.htm?id=17169211357&ns=1&abbucket=10
1302	好可爱！纸胶带妙手玩 正版 图书 手工 diy 胶带 纸艺 河南科技	河南手工艺	20.8	#	Mr.	河南 郑州	111111	好可爱！纸胶带妙手玩 正版 图书 手工 diy 胶带 纸艺 河南科技	河南科技旗舰店	好可爱！纸胶带妙手玩 正版 图书 手工 diy 胶带 纸艺 河南科技	//detail.tmall.com/item.htm?id=10231463952&ns=1&abbucket=10
1303	CH现货正版/一起动手做恐龙折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	14.5	#	Mr.	北京	111111	CH现货正版/一起动手做恐龙折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	诚顺达图书专营店	CH现货正版/一起动手做恐龙折纸/〔日〕高井弘明 ；李旖旎/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524128472078&ns=1&abbucket=10
1304	快乐剪纸中国风 河南科技出版社直销 手工 中国传统 纸艺	河南手工艺	20	#	Mr.	河南 郑州	111111	快乐剪纸中国风 河南科技出版社直销 手工 中国传统 纸艺	河南科技旗舰店	快乐剪纸中国风 河南科技出版社直销 手工 中国传统 纸艺	//detail.tmall.com/item.htm?id=522030911012&ns=1&abbucket=10
1305	中国手工艺 家具制作 吕军 正版 河南教育出版社 第1版 无页16开	河南手工艺	28.5	#	Mr.	四川 成都	111111	中国手工艺 家具制作 吕军 正版 河南教育出版社 第1版 无页16开	秒充之家	中国手工艺 家具制作 吕军 正版 河南教育出版社 第1版 无页16开	//item.taobao.com/item.htm?id=522844215581&ns=1&abbucket=10#detail
1306	中国手工艺  陶瓷烧造 邱耿钰 正版书籍 河南教育出版社 第无版	河南手工艺	45.2	#	Mr.	四川 成都	111111	中国手工艺  陶瓷烧造 邱耿钰 正版书籍 河南教育出版社 第无版	秒充之家	中国手工艺  陶瓷烧造 邱耿钰 正版书籍 河南教育出版社 第无版	//item.taobao.com/item.htm?id=522850243182&ns=1&abbucket=10#detail
1307	中国手工艺 漆艺 长北 正版书籍 河南教育出版社 第1版 无页16开	河南手工艺	45.4	#	Mr.	四川 成都	111111	中国手工艺 漆艺 长北 正版书籍 河南教育出版社 第1版 无页16开	秒充之家	中国手工艺 漆艺 长北 正版书籍 河南教育出版社 第1版 无页16开	//item.taobao.com/item.htm?id=522850355029&ns=1&abbucket=10#detail
1308	古老传统技艺制作手工工艺煤烧钧瓷梅瓶花瓶河南禹州苗宗贤制	河南手工艺	380	#	Mr.	河南 许昌	111111	古老传统技艺制作手工工艺煤烧钧瓷梅瓶花瓶河南禹州苗宗贤制	冬雨雪韵	古老传统技艺制作手工工艺煤烧钧瓷梅瓶花瓶河南禹州苗宗贤制	//item.taobao.com/item.htm?id=41874634663&ns=1&abbucket=10#detail
1309	古老传统技艺制作手工工艺煤烧钧瓷天球花瓶河南禹州神垕苗宗贤制	河南手工艺	350	#	Mr.	河南 许昌	111111	古老传统技艺制作手工工艺煤烧钧瓷天球花瓶河南禹州神垕苗宗贤制	冬雨雪韵	古老传统技艺制作手工工艺煤烧钧瓷天球花瓶河南禹州神垕苗宗贤制	//item.taobao.com/item.htm?id=41903333026&ns=1&abbucket=10#detail
1310	传统手工艺数十味名贵中药材烹制河南特产6只礼盒装薛记道口烧鸡	河南手工艺	255	#	Mr.	河南 安阳	111111	传统手工艺数十味名贵中药材烹制河南特产6只礼盒装薛记道口烧鸡	薛记道口烧鸡	传统手工艺数十味名贵中药材烹制河南特产6只礼盒装薛记道口烧鸡	//item.taobao.com/item.htm?id=17979579650&ns=1&abbucket=10#detail
1311	河南民间特色手工艺品 泥塑黑色小狮子 一对	河南手工艺	10	#	Mr.	河南 濮阳	111111	河南民间特色手工艺品 泥塑黑色小狮子 一对	岸芷汀兰8876	河南民间特色手工艺品 泥塑黑色小狮子 一对	//item.taobao.com/item.htm?id=40553305496&ns=1&abbucket=10#detail
1312	誉峰  河南米黄石雕喷泉纯手工雕刻园林海螺水池流水喷泉PQ-070	河南手工艺	18800	#	Mr.	河北 保定	111111	誉峰  河南米黄石雕喷泉纯手工雕刻园林海螺水池流水喷泉PQ-070	誉峰雕塑旗舰店	誉峰  河南米黄石雕喷泉纯手工雕刻园林海螺水池流水喷泉PQ-070	//detail.tmall.com/item.htm?id=520759836431&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=10
1313	BY1【全店任选2本包邮】小小手工大王?儿童立体手工:走兽王国(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	河南手工艺	11.3	#	Mr.	北京	111111	BY1【全店任选2本包邮】小小手工大王?儿童立体手工:走兽王国(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	图客时代图书专营店	BY1【全店任选2本包邮】小小手工大王?儿童立体手工:走兽王国(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	//detail.tmall.com/item.htm?id=524761896899&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=10
1314	河南特产小六子潢川贡面空心贡面手工挂面散装3捆1.55斤千年工艺	河南手工艺	14.8	#	Mr.	河南 郑州	111111	河南特产小六子潢川贡面空心贡面手工挂面散装3捆1.55斤千年工艺	豫乡食品	河南特产小六子潢川贡面空心贡面手工挂面散装3捆1.55斤千年工艺	//item.taobao.com/item.htm?id=37342472626&ns=1&abbucket=10#detail
1315	河南信阳特产小六子 手工挂面2500g无添加面条手工 传统工艺寿面	河南手工艺	55	#	Mr.	河南 信阳	111111	河南信阳特产小六子 手工挂面2500g无添加面条手工 传统工艺寿面	华夏美食网2015	河南信阳特产小六子 手工挂面2500g无添加面条手工 传统工艺寿面	//item.taobao.com/item.htm?id=522905210682&ns=1&abbucket=10#detail
1316	绿豆粉皮精品传统工艺制作绿色无添加厂家直销绿豆浆坊手工制河南	河南手工艺	40	#	Mr.	河南 洛阳	111111	绿豆粉皮精品传统工艺制作绿色无添加厂家直销绿豆浆坊手工制河南	王能达	绿豆粉皮精品传统工艺制作绿色无添加厂家直销绿豆浆坊手工制河南	//item.taobao.com/item.htm?id=21987328449&ns=1&abbucket=10#detail
1317	天猫正版    快乐手工玩转粘土：卡通王国 [3-6岁]    工艺饰品    李梅著    河南美术出版社    新华书店9787540127671	河南手工艺	15.94	#	Mr.	上海	111111	天猫正版    快乐手工玩转粘土：卡通王国 [3-6岁]    工艺饰品    李梅著    河南美术出版社    新华书店9787540127671	卓越畅想图书专营店	天猫正版    快乐手工玩转粘土：卡通王国 [3-6岁]    工艺饰品    李梅著    河南美术出版社    新华书店9787540127671	//detail.tmall.com/item.htm?id=41058999718&ns=1&abbucket=10
1318	河南土特产 红薯粉条 传统工艺 手工制作 500g/包	河南手工艺	9.8	#	Mr.	河南 平顶山	111111	河南土特产 红薯粉条 传统工艺 手工制作 500g/包	平和2012	河南土特产 红薯粉条 传统工艺 手工制作 500g/包	//item.taobao.com/item.htm?id=16738452224&ns=1&abbucket=10#detail
1319	河南特色烩面香辣牛肉味4包装包邮手工工艺宽面条挂面调味面食	河南手工艺	4.6	#	Mr.	河南 商丘	111111	河南特色烩面香辣牛肉味4包装包邮手工工艺宽面条挂面调味面食	zx_86369	河南特色烩面香辣牛肉味4包装包邮手工工艺宽面条挂面调味面食	//item.taobao.com/item.htm?id=524463318222&ns=1&abbucket=10#detail
1320	河南省包邮照片定制定做软陶公仔人像艺术品民间特色手工艺礼品	河南手工艺	218	#	Mr.	河南 三门峡	111111	河南省包邮照片定制定做软陶公仔人像艺术品民间特色手工艺礼品	洛水飘萍	河南省包邮照片定制定做软陶公仔人像艺术品民间特色手工艺礼品	//item.taobao.com/item.htm?id=43640905347&ns=1&abbucket=10#detail
1321	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3200	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=18423861744&ns=1&abbucket=10#detail
1322	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3200	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=25048864057&ns=1&abbucket=10#detail
1323	河南羊牛肉烩面手工工艺优质挂面宽面条调味面礼盒包装特价包邮	河南手工艺	98	#	Mr.	河南 商丘	111111	河南羊牛肉烩面手工工艺优质挂面宽面条调味面礼盒包装特价包邮	zx_86369	河南羊牛肉烩面手工工艺优质挂面宽面条调味面礼盒包装特价包邮	//item.taobao.com/item.htm?id=523981602711&ns=1&abbucket=10#detail
1324	BY1【全店任选2本包邮】儿童立体手工:恐龙家族(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	河南手工艺	11.3	#	Mr.	北京	111111	BY1【全店任选2本包邮】儿童立体手工:恐龙家族(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	图客时代图书专营店	BY1【全店任选2本包邮】儿童立体手工:恐龙家族(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	//detail.tmall.com/item.htm?id=524749874294&ns=1&abbucket=10
1325	"HZ 新华畅销书籍 现货 折纸宠物乐园 (日)渊本宗司 ,胡小宇  河南科学技术出版社 手工/DIY 纸艺"	河南手工艺	31.6	#	Mr.	北京	111111	"HZ 新华畅销书籍 现货 折纸宠物乐园 (日)渊本宗司 ,胡小宇  河南科学技术出版社 手工/DIY 纸艺"	众合宏达图书专营店	"HZ 新华畅销书籍 现货 折纸宠物乐园 (日)渊本宗司 ,胡小宇  河南科学技术出版社 手工/DIY 纸艺"	//detail.tmall.com/item.htm?id=524806624473&ns=1&abbucket=10
1326	W正版/135款怀旧风剪纸和旋转吊饰/〔日〕宝库社著；于勇/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	25.4	#	Mr.	北京	111111	W正版/135款怀旧风剪纸和旋转吊饰/〔日〕宝库社著；于勇/河南科学技术出版社/手工/DIY 纸艺	博文图书专营店	W正版/135款怀旧风剪纸和旋转吊饰/〔日〕宝库社著；于勇/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524786649872&ns=1&abbucket=10
1327	HZ 新华畅销书籍 包邮现货 亲子互动折纸大全 〔日〕石川真理子；江景丽 河南科学技术出版社 手工/DIY 纸艺	河南手工艺	33.9	#	Mr.	北京	111111	HZ 新华畅销书籍 包邮现货 亲子互动折纸大全 〔日〕石川真理子；江景丽 河南科学技术出版社 手工/DIY 纸艺	众合宏达图书专营店	HZ 新华畅销书籍 包邮现货 亲子互动折纸大全 〔日〕石川真理子；江景丽 河南科学技术出版社 手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524839256607&ns=1&abbucket=10
1328	W正版/巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	河南手工艺	23.8	#	Mr.	北京	111111	W正版/巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	博文图书专营店	W正版/巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524805123744&ns=1&abbucket=10
1329	河南特产真空瓶装经典耗辣椒传统工艺纯手工制作油焖鲜椒辣椒酱	河南手工艺	13.8	#	Mr.	河南 濮阳	111111	河南特产真空瓶装经典耗辣椒传统工艺纯手工制作油焖鲜椒辣椒酱	米氏心情064	河南特产真空瓶装经典耗辣椒传统工艺纯手工制作油焖鲜椒辣椒酱	//item.taobao.com/item.htm?id=43757887514&ns=1&abbucket=10#detail
